datetime	T	RH	WIND	SW	P	SWE	LW	EL
2008-10-1 0:0	 2.667	 0.703	 0.645	-3.497	     0	     0	   235	     0
2008-10-1 1:0	  2.52	 0.703	 0.536	-3.323	     0	     0	 234.6	     0
2008-10-1 2:0	 2.538	0.6816	 0.663	-3.177	     0	     0	 240.7	     0
2008-10-1 3:0	 2.236	0.6933	 0.527	-2.715	     0	     0	   249	     0
2008-10-1 4:0	  2.32	 0.742	 0.524	-3.268	     0	     0	 240.3	     0
2008-10-1 5:0	 1.917	 0.722	 0.465	-3.685	     0	     0	 232.8	     0
2008-10-1 6:0	 1.934	 0.714	 0.577	-3.261	     0	     0	 231.3	     0
2008-10-1 7:0	1.8835	 0.726	 0.512	 51.34	     0	     0	 231.2	9.3865
2008-10-1 8:0	 5.776	0.4807	 0.648	 243.8	     0	     0	 235.5	20.663
2008-10-1 9:0	11.045	0.3398	  0.99	 442.9	     0	     0	 241.8	31.053
2008-10-1 10:0	12.135	0.3259	 1.253	 679.1	     0	     0	 274.3	39.854
2008-10-1 11:0	11.715	 0.294	 1.056	 409.9	     0	     0	 276.4	46.002
2008-10-1 12:0	 13.81	0.2585	 1.372	   735	     0	     0	 279.6	48.249
2008-10-1 13:0	 13.35	0.2598	 1.457	 293.8	     0	     0	   295	45.977
2008-10-1 14:0	11.445	0.3477	 1.325	   197	     0	     0	 312.6	39.809
2008-10-1 15:0	 9.055	0.5004	 1.365	 119.6	     0	     0	 321.3	30.993
2008-10-1 16:0	6.9705	0.5819	 0.873	   129	     0	     0	   316	 20.59
2008-10-1 17:0	  7.75	0.5491	 0.667	 116.8	     0	     0	 303.6	9.3002
2008-10-1 18:0	6.1595	 0.711	 0.567	  29.5	     0	     0	 272.5	     0
2008-10-1 19:0	4.4725	 0.709	 0.954	-2.548	     0	     0	 256.8	     0
2008-10-1 20:0	3.2745	 0.718	 0.917	-3.455	     0	     0	 237.5	     0
2008-10-1 21:0	2.2905	0.6925	 0.636	 -3.36	     0	     0	 236.3	     0
2008-10-1 22:0	 2.381	0.6859	 0.374	-3.199	     0	     0	   245	     0
2008-10-1 23:0	2.0345	 0.695	 0.372	-3.422	     0	     0	 231.5	     0
2008-10-2 0:0	1.4305	 0.714	 0.648	 -3.43	     0	     0	 228.5	     0
2008-10-2 1:0	1.4135	0.6889	 0.858	-3.307	     0	     0	 226.9	     0
2008-10-2 2:0	1.6485	 0.714	   0.9	-3.645	     0	     0	   226	     0
2008-10-2 3:0	 1.279	 0.707	 0.715	-3.628	     0	     0	 223.7	     0
2008-10-2 4:0	0.8935	 0.703	  0.74	-3.682	     0	     0	 223.2	     0
